G1	Α
G265	ἁμάρτημα
G266	ἁμαρτία
G267	ἀμάρτυρος
G268	ἁμαρτωλός
G269	ἄμαχος
G270	ἀμάω
G271	ἀμέθυστος
G272	ἀμελέω
G273	ἄμεμπτος
G274	ἀμέμπτως
G275	ἀμέριμνος
G276	ἀμετάθετος
G277	ἀμετακίνητος
G278	ἀμεταμέλητος
G279	ἀμετανόητος
G280	ἄμετρος
G281	ἀμήν
G282	ἀμήτωρ
G283	ἀμίαντος
G284	Ἀμιναδάβ
G285	ἄμμος
G286	ἀμνός
G287	ἀμοιβή
G288	ἄμπελος
G289	ἀμπελουργός
G290	ἀμπελών
G291	Ἀμπλίας
G292	ἀμύνομαι
G293	ἀμφίβληστρον
G294	ἀμφιέννυμι
G295	Ἀμφίπολις
G296	ἄμφοδον
G297	ἀμφότερος
G298	ἀμώμητος
G299	ἄμωμος
G300	Ἀμών
G301	Ἀμώς
G302	ἄν
G303	ἀνά
G304	ἀναβαθμός
G305	ἀναβαίνω
G306	ἀναβάλλομαι
G307	ἀναβιβάζω
G308	ἀναβλέπω
G309	ἀνάβλεψις
G310	ἀναβοάω
G311	ἀναβολή
G312	ἀναγγέλλω
G313	ἀναγεννάω
G314	ἀναγινώσκω
G315	ἀναγκάζω
G316	ἀναγκαῖος
G317	ἀναγκαστῶς
G318	ἀνάγκη
G319	ἀναγνωρίζομαι
G320	ἀνάγνωσις
G321	ἀνάγω
G322	ἀναδείκνυμι
G323	ἀνάδειξις
G324	ἀναδέχομαι
G325	ἀναδίδωμι
G326	ἀναζάω
G327	ἀναζητέω
G328	ἀναζώννυμι
G329	ἀναζωπυρέω
G330	ἀναθάλλω
G331	ἀνάθεμα
G332	ἀναθεματίζω
G333	ἀναθεωρέω
G334	ἀνάθημα
G335	ἀναίδεια
G336	ἀναίρεσις
G337	ἀναιρέω
G338	ἀναίτιος
G339	ἀνακαθίζω
G340	ἀνακαινίζω
G341	ἀνακαινόω
G342	ἀνακαίνωσις
G343	ἀνακαλύπτω
G344	ἀνακάμπτω
G345	ἀνακεῖμαι
G346	ἀνακεφαλαίομαι
G347	ἀνακλίνω
G348	ἀνακόπτω
G349	ἀνακράζω
G350	ἀνακρίνω
G351	ἀνάκρισις
G352	ἀνακύπτω
G353	ἀναλαμβάνω
G354	ἀνάληψις
G355	ἀναλίσκω
G356	ἀναλογία
G357	ἀναλογίζομαι
G358	ἄναλος
G359	ἀνάλυσις
G360	ἀναλύω
G361	ἀναμάρτητος
G362	ἀναμένω
G363	ἀναμιμνήσκω
G364	ἀνάμνησις
G365	ἀνανεόω
G366	ἀνανήφω
G367	Ἀνανίας
G368	ἀναντίῤῥητος
G369	ἀναντιῤῥήτως
G370	ἀνάξιος
G371	ἀναξίως
G372	ἀνάπαυσις
G373	ἀναπαύω
G374	ἀναπείθω
G375	ἀναπέμπω
G376	ἀνάπηρος
G377	ἀναπίπτω
G378	ἀναπληρόω
G379	ἀναπολόγητος
G380	ἀναπτύσσω
G381	ἀνάπτω
G382	ἀναρίθμητος
G383	ἀνασείω
G384	ἀνασκευάζω
G385	ἀνασπάω
G386	ἀνάστασις
G387	ἀναστατόω
G388	ἀνασταυρόω
G389	ἀναστενάζω
G390	ἀναστρέφω
G391	ἀναστροφή
G392	ἀνατάσσομαι
G393	ἀνατέλλω
G394	ἀνατίθεμαι
G395	ἀνατολή
G396	ἀνατρέπω
G397	ἀνατρέφω
G398	ἀναφαίνω
G399	ἀναφέρω
G400	ἀναφωνέω
G401	ἀνάχυσις
G402	ἀναχωρέω
G403	ἀνάψυξις
G404	ἀναψύχω
G405	ἀνδραποδιστής
G406	Ἀνδρέας
G407	ἀνδρίζομαι
G408	Ἀνδρόνικος
G409	ἀνδροφόνος
G410	ἀνέγκλητος
G411	ἀνεκδιήγητος
G412	ἀνεκλάλητος
G413	ἀνέκλειπτος
G414	ἀνεκτότερος
G415	ἀνελεήμων
G416	ἀνεμίζω
G417	ἄνεμος
G418	ἀνένδεκτος
G419	ἀνεξερεύνητος
G420	ἀνεξίκακος
G421	ἀνεξιχνίαστος
G422	ἀνεπαίσχυντος
G423	ἀνεπίληπτος
G424	ἀνέρχομαι
G425	ἄνεσις
G426	ἀνετάζω
G427	ἄνευ
G428	ἀνεύθετος
G429	ἀνευρίσκω
G430	ἀνέχομαι
G431	ἀνεψιός
G432	ἄνηθον
G433	ἀνήκω
G434	ἀνήμερος
G435	ἀνήρ
G436	ἀνθίστημι
G437	ἀνθομολογέομαι
G438	ἄνθος
G439	ἀνθρακιά
G440	ἄνθραξ
G441	ἀνθρωπάρεσκος
G442	ἀνθρώπινος
G443	ἀνθρωποκτόνος
G444	ἄνθρωπος
G445	ἀνθυπατεύω
G446	ἀνθύπατος
G447	ἀνίημι
G448	ἀνίλεως
G449	ἄνιπτος
G450	ἀνίστημι
G451	Ἄννα
G452	Ἄννας
G453	ἀνόητος
G454	ἄνοια
G455	ἀνοίγω
G456	ἀνοικοδομέω
G457	ἄνοιξις
G458	ἀνομία
G459	ἄνομος
G460	ἀνόμως
G461	ἀνορθόω
G462	ἀνόσιος
G463	ἀνοχή
G464	ἀνταγωνίζομαι
G465	ἀντάλλαγμα
G466	ἀνταναπληρόω
G467	ἀνταποδίδωμι
G468	ἀνταπόδομα
G469	ἀνταπόδοσις
G470	ἀνταποκρίνομαι
G471	ἀντέπω
G472	ἀντέχομαι
G473	ἀντί
G474	ἀντιβάλλω
G475	ἀντιδιατίθεμαι
G476	ἀντίδικος
G477	ἀντίθεσις
G478	ἀντικαθίστημι
G479	ἀντικαλέω
G480	ἀντίκειμαι
G481	ἀντικρύ
G482	ἀντιλαμβάνομαι
G483	ἀντιλέγω
G484	ἀντίληψις
G485	ἀντιλογία
G486	ἀντιλοιδορέω
G487	ἀντίλυτρον
G488	ἀντιμετρέω
G489	ἀντιμισθία
G490	Ἀντιόχεια
G491	Ἀντιοχεύς
G492	ἀντιπαρέρχομαι
G493	Ἀντίπας
G494	Ἀντιπατρίς
G495	ἀντιπέραν
G496	ἀντιπίπτω
G497	ἀντιστρατεύομαι
G498	ἀντιτάσσομαι
G499	ἀντίτυπον
G500	ἀντίχριστος
G501	ἀντλέω
G502	ἄντλημα
G503	ἀντοφθαλμέω
G504	ἄνυδρος
G505	ἀνυπόκριτος
G506	ἀνυπότακτος
G507	ἄνω
G508	ἀνώγεον
G509	ἄνωθεν
G510	ἀνωτερικός
G511	ἀνώτερος
G512	ἀνωφελής
G513	ἀξίνη
G514	ἄξιος
G515	ἀξιόω
G516	ἀξίως
G517	ἀόρατος
G518	ἀπαγγέλλω
G519	ἀπάγχομαι
G520	ἀπάγω
G521	ἀπαίδευτος
G522	ἀπαίρω
G523	ἀπαιτέω
G524	ἀπαλγέω
G525	ἀπαλλάσσω
G526	ἀπαλλοτριόω
G527	ἀπαλός
G528	ἀπαντάω
G529	ἀπάντησις
G530	ἅπαξ
G531	ἀπαράβατος
G532	ἀπαρασκεύαστος
G533	ἀπαρνέομαι
G534	ἀπάρτι
G535	ἀπαρτισμός
G536	ἀπαρχή
G537	ἅπας
G538	ἀπατάω
G539	ἀπάτη
G540	ἀπάτωρ
G541	ἀπαύγασμα
G542	ἀπείδω
G543	ἀπείθεια
G544	ἀπειθέω
G545	ἀπειθής
G546	ἀπειλέω
G547	ἀπειλή
G548	ἄπειμι_1
G549	ἄπειμι_2
G550	ἀπειπόμην
G551	ἀπείραστος
G552	ἄπειρος
G553	ἀπεκδέχομαι
G554	ἀπεκδύομαι
G555	ἀπέκδυσις
G556	ἀπελαύνω
G557	ἀπελεγμός
G558	ἀπελεύθερος
G559	Ἀπελλῆς
G560	ἀπελπίζω
G561	ἀπέναντι
G562	ἀπέραντος
G563	ἀπερισπάστως
G564	ἀπερίτμητος
G565	ἀπέρχομαι
G566	ἀπέχει
G567	ἀπέχομαι
G568	ἀπέχω
G569	ἀπιστέω
G570	ἀπιστία
G571	ἄπιστος
G572	ἁπλότης
G573	ἁπλοῦς
G574	ἁπλῶς
G575	ἀπό
G576	ἀποβαίνω
G577	ἀποβάλλω
G578	ἀποβλέπω
G579	ἀπόβλητος
G580	ἀποβολή
G581	ἀπογενόμενος
G582	ἀπογραφή
G583	ἀπογράφω
G584	ἀποδείκνυμι
G585	ἀπόδειξις
G586	ἀποδεκατόω
G587	ἀπόδεκτος
G588	ἀποδέχομαι
G589	ἀποδημέω
G590	ἀπόδημος
G591	ἀποδίδωμι
G592	ἀποδιορίζω
G593	ἀποδοκιμάζω
G594	ἀποδοχή
G595	ἀπόθεσις
G596	ἀποθήκη
G597	ἀποθησαυρίζω
G598	ἀποθλίβω
G599	ἀποθνήσκω
G600	ἀποκαθίστημι
G601	ἀποκαλύπτω
G602	ἀποκάλυψις
G603	ἀποκαραδοκία
G604	ἀποκαταλλάσσω
G605	ἀποκατάστασις
G606	ἀπόκειμαι
G607	ἀποκεφαλίζω
G608	ἀποκλείω
G609	ἀποκόπτω
G610	ἀπόκριμα
G611	ἀποκρίνομαι
G612	ἀπόκρισις
G613	ἀποκρύπτω
G614	ἀπόκρυφος
G615	ἀποκτείνω
G616	ἀποκυέω
G617	ἀποκυλίω
G618	ἀπολαμβάνω
G619	ἀπόλαυσις
G620	ἀπολείπω
G621	ἀπολείχω
G622	ἀπόλλυμι
G623	Ἀπολλύων
G624	Ἀπολλωνία
G625	Ἀπολλῶς
G626	ἀπολογέομαι
G627	ἀπολογία
G628	ἀπολούω
G629	ἀπολύτρωσις
G630	ἀπολύω
G631	ἀπομάσσομαι
G632	ἀπονέμω
G633	ἀπονίπτω
G634	ἀποπίπτω
G635	ἀποπλανάω
G636	ἀποπλέω
G637	ἀποπλύνω
G638	ἀποπνίγω
G639	ἀπορέω
G640	ἀπορία
G641	ἀποῤῥίπτω
G642	ἀπορφανίζω
G643	ἀποσκευάζω
G644	ἀποσκίασμα
G645	ἀποσπάω
G646	ἀποστασία
G647	ἀποστάσιον
G648	ἀποστεγάζω
G649	ἀποστέλλω
G650	ἀποστερέω
G651	ἀποστολή
G652	ἀπόστολος
G653	ἀποστοματίζω
G654	ἀποστρέφω
G655	ἀποστυγέω
G656	ἀποσυνάγωγος
G657	ἀποτάσσομαι
G658	ἀποτελέω
G659	ἀποτίθημι
G660	ἀποτινάσσω
G661	ἀποτίνω
G662	ἀποτολμάω
G663	ἀποτομία
G664	ἀποτόμως
G665	ἀποτρέπω
G666	ἀπουσία
G667	ἀποφέρω
G668	ἀποφεύγω
G669	ἀποφθέγγομαι
G670	ἀποφορτίζομαι
G671	ἀπόχρησις
G672	ἀποχωρέω
G673	ἀποχωρίζω
G674	ἀποψύχω
G675	Ἄππιος
G676	ἀπρόσιτος
G677	ἀπρόσκοπος
G678	ἀπροσωπολήπτως
G679	ἄπταιστος
G680	ἅπτομαι
G681	ἅπτω
G682	Ἀπφία
G683	ἀπωθέομαι
G684	ἀπώλεια
G685	ἀρά
G686	ἄρα
G687	ἆρα
G688	Ἀραβία
G689	Ἀράμ
G690	Ἄραψ
G691	ἀργέω
G692	ἀργός
G693	ἀργύρεος
G694	ἀργύριον
G695	ἀργυροκόπος
G696	ἄργυρος
G697	Ἄρειος Πάγος
G698	Ἀρεοπαγίτης
G699	ἀρεσκεία
G700	ἀρέσκω
G701	ἀρεστός
G702	Ἀρέτας
G703	ἀρέτη
G704	ἀρήν
G705	ἀριθμέω
G706	ἀριθμός
G707	Ἀριμαθαία
G708	Ἀρίσταρχος
