147	L70147	פִּישֹׁון	nmpr	Pishon
148	L70148	הוּא	prps	he
149	L70149	סבב	verb	turn
150	L70150	חֲוִילָה	nmpr	Havilah
151	L70151	זָהָב	subs	gold
152	L70152	הִיא	prps	she
153	L70153	בְּדֹלַח	subs	bdellium-gum
154	L70154	אֶבֶן	subs	stone
155	L70155	שֹׁהַם	subs	carnelian
156	L70156	גִּיחֹון	nmpr	Gihon
157	L70157	כּוּשׁ	nmpr	Cush
158	L70158	חִדֶּקֶל	nmpr	Tigris
159	L70159	הלך	verb	walk
160	L70160	קִדְמָה	subs	front
161	L70161	אַשּׁוּר	nmpr	Asshur
162	L70162	פְּרָת	nmpr	Euphrates
163	L70163	לקח	verb	take
164	L70164	נוח	verb	settle
165	L70165	שׁמר	verb	keep
166	L70166	צוה	verb	command
167	L70167	אכל	verb	eat
168	L70168	מות	verb	die
169	L70169	בַּד	subs	linen, part, stave
170	L70170	עֵזֶר	subs	help, helper
171	L70171	נֶגֶד	subs	counterpart
172	L70172	בוא	verb	come
173	L70173	מָה	prin	what
174	L70174	מצא	verb	find
175	L70175	נפל	verb	fall
176	L70176	תַּרְדֵּמָה	subs	sleep
177	L70177	ישׁן	verb	sleep
178	L70178	צֵלָע	subs	side
179	L70179	סגר	verb	close
180	L70180	בָּשָׂר	subs	flesh
181	L70181	בנה	verb	build
182	L70182	אִשָּׁה	subs	woman
183	L70183	זֹאת	prde	this
184	L70184	פַּעַם	subs	foot
185	L70185	עֶצֶם	subs	bone
186	L70186	אִישׁ	subs	man
187	L70187	עזב	verb	leave
188	L70188	אָב	subs	father
189	L70189	אֵם	subs	mother
190	L70190	דבק	verb	cling, cleave to
191	L70191	עָרֹום	adjv	naked
192	L70192	בושׁ	verb	be ashamed
193	L70193	נָחָשׁ	subs	serpent
194	L70194	עָרוּם	adjv	shrewd
195	L70195	אַף	advb	even
196	L70196	נגע	verb	touch
197	L70197	פֶּן	conj	lest
198	L70198	ידע	verb	know
199	L70199	פקח	verb	open
200	L70200	עַיִן	subs	eye
201	L70201	תַּאֲוָה	subs	desire
202	L70202	שׂכל	verb	prosper
203	L70203	גַּם	advb	even
204	L70204	עִם	prep	with
205	L70205	עֵירֹם	adjv	naked
206	L70206	הֵם	prps	they
207	L70207	תפר	verb	sew
208	L70208	עָלֶה	subs	leafage
209	L70209	תְּאֵנָה	subs	fig
210	L70210	חֲגֹורָה	subs	girdle
211	L70211	שׁמע	verb	hear
212	L70212	קֹול	subs	sound
213	L70213	חבא	verb	hide
214	L70214	אֵי	inrg	where
215	L70215	ירא	verb	fear
216	L70216	אָנֹכִי	prps	i
217	L70217	מִי	prin	who
218	L70218	נגד	verb	report
219	L70219	אַתָּה	prps	you
220	L70220	הֲ	inrg	[interrogative]
221	L70221	בֵּלֶת	subs	failure
222	L70222	עִמָּד	subs	company
223	L70223	נשׁא	verb	beguile
224	L70224	ארר	verb	curse
225	L70225	גָּחֹון	subs	belly
226	L70226	אֵיבָה	subs	enmity
227	L70227	שׁית	verb	put
228	L70228	שׁוף	verb	bruise
229	L70229	שׁוף	verb	snatch
230	L70230	עָקֵב	subs	heel
231	L70231	עִצָּבֹון	subs	pain
232	L70232	הֵרֹון	subs	pregnancy
233	L70233	עֶצֶב	subs	pain
234	L70234	ילד	verb	bear
235	L70235	בֵּן	subs	son
236	L70236	תְּשׁוּקָה	subs	impulse
237	L70237	עֲבוּר	subs	way
238	L70238	קֹוץ	subs	thorn-bush
239	L70239	דַּרְדַּר	subs	thistles
240	L70240	זֵעָה	subs	sweat
241	L70241	לֶחֶם	subs	bread
242	L70242	עַד	prep	unto
243	L70243	שׁוב	verb	return
244	L70244	חַוָּה	nmpr	Eve
245	L70245	כֻּתֹּנֶת	subs	tunic
246	L70246	עֹור	subs	skin
247	L70247	לבשׁ	verb	cloth
248	L70248	הֵן	intj	behold
249	L70249	עַתָּה	advb	now
250	L70250	שׁלח	verb	send
251	L70251	יָד	subs	hand
252	L70252	חיה	verb	be alive
253	L70253	עֹולָם	subs	eternity
254	L70254	גרשׁ	verb	drive out
255	L70255	שׁכן	verb	dwell
256	L70256	כְּרוּב	subs	cherub
257	L70257	לַהַט	subs	flame
258	L70258	חֶרֶב	subs	dagger
259	L70259	הפך	verb	turn
260	L70260	דֶּרֶךְ	subs	way
261	L70261	הרה	verb	be pregnant
262	L70262	קַיִן	nmpr	Kain
263	L70263	קנה	verb	create
264	L70264	אֵת	prep	together with
265	L70265	יסף	verb	add
266	L70266	אָח	subs	brother
267	L70267	הֶבֶל	nmpr	Abel
268	L70268	רעה	verb	pasture
269	L70269	צֹאן	subs	cattle
270	L70270	קֵץ	subs	end
271	L70271	מִנְחָה	subs	present
272	L70272	בְּכֹר	subs	first-born
273	L70273	חֵלֶב	subs	fat
274	L70274	שׁעה	verb	look
275	L70275	חרה	verb	be hot
276	L70276	לָמָה	inrg	why
277	L70277	אִם	conj	if
278	L70278	יטב	verb	be good
279	L70279	שְׂאֵת	subs	uprising
280	L70280	פֶּתַח	subs	opening
281	L70281	חַטָּאת	subs	sin
282	L70282	רבץ	verb	lie down
283	L70283	קום	verb	arise
284	L70284	הרג	verb	kill
285	L70285	דָּם	subs	blood
286	L70286	צעק	verb	cry
287	L70287	פצה	verb	open
288	L70288	פֶּה	subs	mouth
289	L70289	כֹּחַ	subs	strength
290	L70290	נוע	verb	quiver
291	L70291	נוד	verb	waver
292	L70292	עָוֹן	subs	sin
293	L70293	נשׂא	verb	lift
294	L70294	סתר	verb	hide
295	L70295	לָכֵן	advb	therefore
296	L70296	שֶׁבַע	subs	seven
297	L70297	נקם	verb	avenge
298	L70298	נכה	verb	strike
299	L70299	ישׁב	verb	sit
300	L70300	נֹוד	nmpr	Nod
301	L70301	חֲנֹוךְ	nmpr	Henoch
302	L70302	עִיר	subs	town
303	L70303	חֲנֹוךְ	nmpr	Enoch
304	L70304	עִירָד	nmpr	Irad
305	L70305	מְחוּיָאֵל	nmpr	Mehujael
306	L70306	מְחִיּיָאֵל	nmpr	Mehujael
307	L70307	מְתוּשָׁאֵל	nmpr	Methushael
308	L70308	לֶמֶךְ	nmpr	Lamech
309	L70309	עָדָה	nmpr	Adah
310	L70310	צִלָּה	nmpr	Zillah
311	L70311	יָבָל	nmpr	Jabal
312	L70312	אֹהֶל	subs	tent
313	L70313	מִקְנֶה	subs	purchase
314	L70314	יוּבָל	nmpr	Jubal
315	L70315	תפשׂ	verb	seize
316	L70316	כִּנֹּור	subs	cither
317	L70317	עוּגָב	subs	flute
318	L70318	תּוּבַל קַיִן	nmpr	Tubal-Cain
319	L70319	לטשׁ	verb	sharpen
320	L70320	חרשׁ	verb	plough
321	L70321	נְחֹשֶׁת	subs	bronze
322	L70322	בַּרְזֶל	subs	iron
323	L70323	אָחֹות	subs	sister
324	L70324	נַעֲמָה	nmpr	Naamah
325	L70325	אזן	verb	listen
326	L70326	אִמְרָה	subs	word
327	L70327	פֶּצַע	subs	bruise
328	L70328	יֶלֶד	subs	boy
329	L70329	חַבּוּרָה	subs	bruise
330	L70330	אָדָם	nmpr	Adam
331	L70331	עֹוד	subs	duration
332	L70332	שֵׁת	nmpr	Seth
333	L70333	אַחֵר	adjv	other
334	L70334	אֱנֹושׁ	nmpr	Enosh
335	L70335	אָז	advb	then
336	L70336	חלל	verb	defile
337	L70337	זֶה	prde	this
338	L70338	סֵפֶר	subs	letter
339	L70339	שָׁלֹשׁ	subs	three
340	L70340	מֵאָה	subs	hundred
341	L70341	אַחַר	subs	after
342	L70342	שְׁמֹנֶה	subs	eight
343	L70343	בַּת	subs	daughter
344	L70344	תֵּשַׁע	subs	nine
345	L70345	חָמֵשׁ	subs	five
346	L70346	עֶשְׂרֵה	subs	-teen
347	L70347	קֵינָן	nmpr	Kenan
348	L70348	מַהֲלַלְאֵל	nmpr	Mahalalel
349	L70349	עֶשֶׂר	subs	ten
350	L70350	שֵׁשׁ	subs	six
351	L70351	יֶרֶד	nmpr	Jered
352	L70352	מְתוּשֶׁלַח	nmpr	Methuselah
353	L70353	נֹחַ	nmpr	Noah
354	L70354	נחם	verb	repent, console
355	L70355	מַעֲשֶׂה	subs	deed
356	L70356	שֵׁם	nmpr	Shem
357	L70357	חָם	nmpr	Ham
358	L70358	יֶפֶת	nmpr	Japheth
359	L70359	רבב	verb	be much
360	L70360	הֵנָּה	prps	they
361	L70361	בחר	verb	examine
362	L70362	דון	verb	[uncertain]
363	L70363	שַׁ	conj	[relative]
364	L70364	עֶשְׂרִים	subs	twenty
365	L70365	נְפִילִים	subs	giants
366	L70366	הֵמָּה	prps	they
367	L70367	גִּבֹּור	subs	vigorous
368	L70368	רַב	adjv	much
369	L70369	רָעָה	subs	evil
370	L70370	יֵצֶר	subs	form
371	L70371	מַחֲשָׁבָה	subs	thought
372	L70372	לֵב	subs	heart
373	L70373	רַק	advb	only
374	L70374	עצב	verb	hurt
375	L70375	מחה	verb	wipe
376	L70376	חֵן	subs	grace
377	L70377	צַדִּיק	adjv	just
378	L70378	תָּמִים	adjv	complete
379	L70379	דֹּור	subs	generation
380	L70380	שׁחת	verb	destroy
381	L70381	חָמָס	subs	violence
382	L70382	תֵּבָה	subs	ark
383	L70383	גֹּפֶר	subs	gopher
384	L70384	קֵן	subs	nest
385	L70385	כפר	verb	cover
386	L70386	בַּיִת	subs	house
387	L70387	חוּץ	subs	outside
388	L70388	כֹּפֶר	subs	cover
389	L70389	אַמָּה	subs	cubit
